feature_id,name,category,t_stat,p_value,ic,icir,hit_rate,sharpe,stability,nonlinear_r2,passed
bb_accel_{period}d,BB加速度 50日,L,2.436,0.0154,0.1014,0.544,0.5463,0.478,1.6962,0.0168,True
autocorr_1d,自相关 lag1,L,-2.328,0.0205,-0.1277,-1.136,0.4537,-0.506,1.2344,0.0005,True
mom_accel_30d_90d,30日-90日动量差,A,2.286,0.0229,0.1419,0.462,0.5075,0.788,3.3815,0.0,True
asymmetry_60d,60日涨跌不对称,C,2.235,0.0261,0.1198,0.466,0.5134,1.482,2.2097,0.0,True
skew_20d,20日偏度,C,2.207,0.028,0.1441,0.496,0.5493,1.046,2.3742,0.035,True
iv_skew_proxy_{w}d,IV偏斜proxy 20日,H,2.207,0.028,0.1441,0.496,0.5493,1.046,2.3742,0.035,True
near_high_{w}d,近120日高,M,-2.142,0.0331,-0.1597,-0.55,0.4928,-1.081,3.1269,0.0002,True
vol_price_div_10d,10日量价背离,F,2.14,0.0331,0.1135,1.178,0.5164,0.704,0.7407,0.0075,True
obv_mom_10d,OBV 10日动量,F,-2.137,0.0333,-0.1295,-0.982,0.4985,-1.342,1.1262,0.0067,True
fractal_eff_50d,分形效率 50日,L,2.112,0.0355,0.0733,0.204,0.4776,0.538,2.8461,0.0263,True
skew_60d,60日偏度,C,2.089,0.0375,0.1064,1.11,0.4985,0.282,1.0643,0.0023,True
autocorr_20d,自相关 lag20,L,-2.06,0.0401,-0.1095,-0.445,0.4657,-0.449,2.4679,0.0057,True
parkinson_vol_60d,Parkinson 60日波动,B,2.051,0.0411,0.1119,0.354,0.5701,0.852,2.9994,0.0127,True
mom5d_vol60d,动量5d×波动60d,K,2.043,0.0418,0.0767,0.437,0.5104,0.625,1.5945,0.0191,True
trend_strength_14d,趋势强度 14日,L,-2.027,0.0435,-0.2315,-0.805,0.4299,-0.889,2.6318,0.1062,True
mom_90d,90日动量,A,-1.977,0.0488,-0.1601,-0.611,0.4806,-0.246,2.5163,0.0008,True
hurst_60d,Hurst 60日,L,-1.965,0.0502,-0.1017,-0.346,0.4925,-0.76,2.7173,0.0016,True
whale_activity_10d,巨鲸活跃proxy 10日,J,-1.964,0.0504,-0.1376,-0.854,0.4866,-1.118,1.2735,0.0097,True
obv_price_confirm_{w}d,OBV-价格确认 20日,K,1.944,0.0527,0.09,0.659,0.5194,0.792,0.5667,0.0,True
obv_mom_20d,OBV 20日动量,F,-1.915,0.0563,-0.0579,-0.434,0.4657,-0.701,1.4761,0.0071,True
max_dd_20d,20日最大回撤,A,1.892,0.0593,0.0572,0.513,0.5522,0.574,1.0397,0.0014,True
mom_accel_10d_50d,10日-50日动量差,A,1.869,0.0625,0.0891,0.392,0.5134,1.059,1.9406,0.0045,True
near_high_{w}d,近20日高,M,1.826,0.0687,0.0636,0.62,0.5373,0.271,0.8689,0.002,True
up_down_ratio_{w}d,涨跌比 10日,N,-1.816,0.0703,-0.0915,-0.421,0.5134,-0.705,1.9291,0.0003,True
tail_events_60d_3s,60日3σ尾部事件,C,-1.787,0.0749,-0.1243,-0.481,0.4119,-0.313,2.4791,0.0937,True
bb_width_20_2,"BB(20,2)带宽",E,-1.778,0.0762,-0.1657,-0.778,0.4597,-0.867,1.0875,0.0262,True
bb_width_20_1.5,"BB(20,1.5)带宽",E,-1.778,0.0762,-0.1657,-0.778,0.4597,-0.867,1.0875,0.0262,True
co_ratio_5d,收/开比 5日,N,1.776,0.0767,0.0614,0.374,0.5075,0.51,1.2667,0.0161,True
sell_pressure_10d,抛压proxy 10日,J,1.759,0.0795,0.0687,0.565,0.5075,0.171,1.0776,0.0003,True
large_order_50d_2s,50日大单占比,F,-1.753,0.0805,-0.1285,-0.468,0.4627,-0.735,2.9329,0.1457,True
mom_5d,5日动量,A,1.748,0.0813,0.0618,0.375,0.5104,0.508,1.2536,0.0169,True
vol_trend_price_{w}d,量趋势×价格 10日,K,-1.745,0.0819,-0.1039,-1.475,0.4925,-0.838,0.4369,0.0041,True
hodl_strength_{w}d,HODL强度 60日,J,1.727,0.085,0.0854,0.234,0.5994,0.812,3.6388,0.0002,True
ma_slope_50,MA50斜率,D,-1.711,0.088,-0.1028,-0.848,0.4746,-0.368,1.7721,0.0205,True
mom_180d,180日动量,A,-1.71,0.0881,-0.1117,-0.621,0.4507,-0.371,,0.0211,True
kurt_20d,20日峰度,C,1.709,0.0883,0.1149,0.527,0.4955,0.961,1.4801,0.0133,True
iv_skew_proxy_{w}d,IV偏斜proxy 10日,H,1.684,0.093,0.0663,0.242,0.5522,0.745,2.2307,0.0011,True
vol_price_div_20d,20日量价背离,F,1.682,0.0935,0.1238,1.2,0.5373,0.591,1.0465,0.0081,True
mom50d_vol10d,动量50d×波动10d,K,-1.68,0.0938,-0.0954,-1.365,0.4627,-0.315,0.8874,0.0175,True
ma_dist_20_60,MA20/60距离,D,-1.646,0.1008,-0.098,-0.439,0.4896,-1.091,2.1493,0.0043,True
rsi_diff_14_30,RSI14-RSI30,K,1.633,0.1034,0.0248,0.093,0.5015,0.338,2.5738,0.0032,True
asymmetry_20d,20日涨跌不对称,C,1.631,0.1039,0.0765,0.228,0.4896,0.892,2.9738,0.0368,True
cci_14,CCI(14),E,1.599,0.1108,0.0619,0.358,0.5522,0.556,1.5392,0.0057,True
ma_dist_slope_5_20,MA5/20距离×斜率,K,-1.593,0.1122,-0.126,-1.017,0.4955,-1.004,0.2564,0.0129,True
mom_7d,7日动量,A,1.542,0.124,0.0514,0.29,0.5194,0.648,1.5471,0.0204,True
trend_strength_30d,趋势强度 30日,L,1.537,0.1254,0.0174,0.043,0.5522,0.911,4.1876,0.0334,True
